,OPEN,HIGH,LOW,CLOSE,symbol
2022/3/17,1131.5176,1158.5814,1128.6443,1139.9056,CI005813.WI
2022/3/17,1269.4658,1292.4852,1269.4551,1272.7417,CI005135.WI
2022/3/17,836.8004,853.7242,824.2205,831.5106,CI005840.WI
2022/3/17,1987.2072,1992.2814,1961.7106,1964.6677,CI005170.WI
2022/3/17,2722.1274,2778.5117,2708.4729,2737.9744,CI005185.WI
2022/3/17,3439.6199,3510.5581,3439.5601,3452.6023,CI005171.WI
2022/3/17,6884.2373,6924.7817,6762.5532,6770.2959,CI005165.WI
2022/3/17,2312.8669,2355.3765,2312.6716,2314.9287,CI005146.WI
2022/3/17,2201.2959,2228.0896,2182.6519,2190.7542,CI005139.WI
2022/3/17,825.1974,871.0638,822.5386,860.1132,CI005820.WI
2022/3/17,6393.1738,6495.1475,6339.3921,6353.5127,CI005113.WI
2022/3/17,73061.5703,74936.75,72757.9844,73521.5703,CI005156.WI
2022/3/17,1636.5557,1726.2067,1623.2213,1695.2816,CI005162.WI
2022/3/17,2629.4836,2680.1675,2621.8557,2633.623,CI005129.WI
2022/3/17,2107.6868,2160.8589,2106.5947,2121.7664,CI005193.WI
2022/3/17,1112.2158,1132.0245,1108.9641,1114.4807,CI005804.WI
2022/3/17,3927.5491,3995.1604,3893.1323,3930.1836,CI005102.WI
2022/3/17,2632.1758,2637.6812,2592.939,2597.5476,CI005109.WI
2022/3/17,1446.3978,1473.2526,1443.0148,1449.6255,CI005812.WI
2022/3/17,576.0199,596.5833,573.5923,589.9916,CI005816.WI
2022/3/17,1108.1895,1132.2537,1104.1003,1113.6316,CI005801.WI
2022/3/17,1903.28,1939.4348,1896.5027,1900.2004,CI005834.WI
2022/3/17,2877.3262,2879.7727,2798.21,2803.2698,CI005809.WI
2022/3/17,796.4583,814.6935,794.1666,801.1999,CI005831.WI
2022/3/17,1068.6512,1095.8137,1062.4076,1073.4879,CI005847.WI
2022/3/17,875.1859,892.8785,873.1953,876.96,CI005196.WI
2022/3/17,2756.1943,2805.4622,2722.4302,2733.55,CI005188.WI
2022/3/17,1012.5115,1026.6666,1007.5829,1015.3243,CI005843.WI
2022/3/17,950.8527,969.8798,948.2912,957.4986,CI005842.WI
2022/3/17,778.4359,784.3843,772.0918,774.0466,CI005828.WI
2022/3/17,1604.6061,1646.6508,1604.0852,1623.1703,CI005111.WI
2022/3/17,1694.7858,1717.8845,1672.9685,1692.5557,CI005166.WI
2022/3/17,4171.2705,4220.3672,4151.604,4166.708,CI005181.WI
2022/3/17,2896.3174,2957.7656,2803.4563,2915.1416,CI005104.WI
2022/3/17,4244.9521,4331.3262,4227.5835,4262.7046,CI005107.WI
2022/3/17,16559.2344,16661.7539,16338.0801,16341.0742,CI005136.WI
2022/3/17,912.2517,937.7589,912.114,923.7811,CI005826.WI
2022/3/17,1636.5646,1688.099,1636.1445,1668.1113,CI005805.WI
2022/3/17,1018.2866,1037.1066,1015.1382,1023.8615,CI005846.WI
2022/3/17,1783.1052,1813.0387,1772.7506,1776.7009,CI005808.WI
2022/3/17,847.4177,877.7625,847.4177,866.658,CI005848.WI
2022/3/17,5972.7573,6024.915,5917.1626,5930.6899,CI005127.WI
2022/3/17,3608.6401,3704.7307,3607.7144,3626.1841,CI005810.WI
2022/3/17,1420.1389,1447.6958,1419.1277,1423.7106,CI005189.WI
2022/3/17,2012.7935,2052.4446,2011.0377,2016.7936,CI005192.WI
2022/3/18,587.6022,593.0059,580.0627,588.6574,CI005816.WI
2022/3/18,73204.7813,74170.0703,72407.1016,73147.0234,CI005156.WI
2022/3/18,7906.3013,7909.5508,7800.8926,7889.6909,CI005138.WI
2022/3/18,12206.2109,12673.0127,12170.2119,12635.4219,CI005160.WI
2022/3/18,953.8759,969.0576,948.5161,967.5811,CI005187.WI
2022/3/18,882.7604,917.1646,865.4286,898.4219,CI005829.WI
2022/3/18,1424.2476,1448.2704,1417.0344,1442.6149,CI005189.WI
2022/3/18,1110.4388,1133.2054,1110.2732,1132.769,CI005801.WI
2022/3/18,1663.0067,1672.9502,1647.5457,1668.0123,CI005805.WI
2022/3/18,2710.4141,2732.2603,2683.9434,2726.0396,CI005188.WI
2022/3/18,1457.6255,1465.4023,1445.7516,1462.9601,CI005806.WI
2022/3/18,17178.9004,17300.1465,17012.707,17217.3965,CI005155.WI
2022/3/18,3563.363,3656.8074,3527.125,3641.8115,CI005140.WI
2022/3/18,2590.4592,2652.856,2578.9192,2635.6147,CI005109.WI
2022/3/18,1441.0061,1460.3657,1433.2393,1458.3961,CI005802.WI
2022/3/18,969.217,996.6658,963.505,992.5867,CI005825.WI
2022/3/18,1112.0355,1143.9752,1109.3184,1139.823,CI005804.WI
2022/3/18,1673.3236,1715.5216,1671.8496,1700.835,CI005162.WI
2022/3/18,1621.4404,1625.5657,1600.2675,1625.5657,CI005838.WI
2022/3/18,15969.9932,16315.666,15837.8613,16244.4873,CI005106.WI
2022/3/18,4275.4648,4382.6587,4261.4888,4376.2681,CI005107.WI
2022/3/18,747.5369,760.7189,746.1002,760.7189,CI005839.WI
